Simulation Time,1D (%),2D (%),Other (%)
         2.0000,     0,   100,        0
         3.0000,     0,    98,        2
         4.0000,     0,    98,        2
         5.0000,     0,    97,        3
         6.0000,     0,    97,        3
         7.0000,     0,    97,        3
         8.0000,     0,    97,        3
         9.0000,     0,    97,        3
        10.0000,     0,    97,        3
        10.0000,     0,    97,        3
