iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
100,          6.809,0.121367,0.120787,0.684021,0.904648,0.271576,72.4142
200,         17.907,0.0978552,0.0975265,0.543427,0.729401,0.20813,87.9086
300,         27.649,0.096678,0.0940434,0.479599,0.720627,0.168762,92.0101
400,         37.290,0.0980499,0.0978885,0.702332,0.73085,0.211502,93.7841
500,         47.076,0.0981484,0.0979083,0.68811,0.731583,0.21109,95.0328
600,         56.636,0.0919152,0.0909245,0.732925,0.68512,0.189499,95.785
700,         66.003,0.09572,0.0956063,0.732971,0.725754,0.217667,96.2249
800,         75.513,0.0950772,0.0946854,0.72644,0.733658,0.177582,96.6722
900,         84.980,0.0946666,0.0929639,0.536972,0.734726,0.18045,96.9895
1000,         94.152,0.0928954,0.0926444,0.548859,0.735062,0.165878,97.1435
1100,        103.458,0.0925385,0.0924129,0.50029,0.736267,0.161499,97.3843
1200,        112.590,0.0915935,0.0914866,0.533417,0.736557,0.163055,97.5608
1300,        121.737,0.0913533,0.0911705,0.537354,0.73764,0.155289,97.7021
1400,        130.790,0.0903191,0.0901886,0.527893,0.738205,0.149948,97.8488
1500,        139.845,0.0911579,0.0906683,0.484192,0.738998,0.16098,97.9594
1600,        148.848,0.0899473,0.0886534,0.477234,0.739609,0.177917,98.0381
1700,        157.867,0.0911192,0.0910813,0.482697,0.740433,0.176804,98.1305
1800,        166.917,0.0896943,0.0896087,0.492722,0.741318,0.183701,98.2189
1900,        175.878,0.0909268,0.0896087,0.489273,0.741852,0.156097,98.2792
2000,        184.881,0.0899644,0.0897108,0.472336,0.742798,0.156906,98.3267
2100,        193.865,0.0907971,0.0906482,0.474304,0.743271,0.156799,98.3932
2200,        202.914,0.0902991,0.089694,0.466217,0.744293,0.157364,98.4466
2300,        211.900,0.0907505,0.0906465,0.461624,0.744751,0.157181,98.4992
2400,        220.979,0.0905656,0.090146,0.462784,0.745773,0.159576,98.5544
2500,        229.965,0.0905506,0.0904049,0.463165,0.746246,0.159363,98.5966
2600,        239.006,0.0907729,0.0904049,0.457565,0.747223,0.159912,98.6274
2700,        248.023,0.0904853,0.0904402,0.451721,0.747726,0.158844,98.6717
2800,        257.098,0.0909993,0.0908569,0.452759,0.748718,0.156937,98.7094
2900,        266.123,0.0904729,0.0901738,0.449966,0.749252,0.155029,98.7441
3000,        275.188,0.0911277,0.0908873,0.453217,0.750168,0.154526,98.7727
3100,        284.231,0.0905348,0.0901108,0.442902,0.750778,0.155685,98.8033
3200,        293.291,0.0909459,0.090667,0.430603,0.751633,0.15274,98.8293
3300,        302.352,0.0906729,0.0906496,0.429092,0.752319,0.156693,98.8586
3400,        311.417,0.0909191,0.0906496,0.43129,0.753143,0.156601,98.8834
3500,        320.482,0.0908133,0.0906496,0.44191,0.75386,0.157516,98.9097
3600,        329.547,0.0908784,0.0906496,0.45401,0.754639,0.148865,98.9328
3700,        338.610,0.0908393,0.0906344,0.461639,0.755371,0.148743,98.9557
3800,        347.674,0.0909469,0.0906344,0.471863,0.756149,0.149323,98.9749
3900,        356.737,0.0908892,0.0906344,0.481689,0.756897,0.148788,98.9937
4000,        365.818,0.0909579,0.0909091,0.486282,0.75766,0.148499,99.0154
4100,        374.909,0.0909367,0.0909091,0.491104,0.758392,0.148087,99.0388
4200,        384.000,0.0910581,0.0909091,0.49498,0.759171,0.147644,99.0591
4300,        393.091,0.0910605,0.0909091,0.495697,0.759918,0.147385,99.0775
4400,        402.182,0.0911842,0.0909091,0.498947,0.760681,0.146576,99.093
4500,        411.273,0.0911817,0.0909091,0.501419,0.761444,0.14653,99.1067
4600,        420.365,0.0912796,0.0911854,0.50708,0.762207,0.145508,99.1186
4700,        429.483,0.0912732,0.0911854,0.514679,0.762955,0.145996,99.1354
4800,        438.602,0.0913783,0.0911854,0.524445,0.763733,0.145325,99.1503
4900,        447.720,0.0913903,0.0911854,0.527496,0.764481,0.145767,99.1632
5000,        456.839,0.0915026,0.0911854,0.531189,0.765259,0.144867,99.1742
5100,        465.957,0.0915354,0.0911854,0.5336,0.766022,0.145035,99.1831
5200,        475.076,0.0916346,0.0911854,0.536087,0.766785,0.143478,99.1904
