iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
100,          7.821,0.151646,0.150878,0.59787,1,0.24704,72.5257
200,         20.578,0.135112,0.134598,0.470963,0.890976,0.232544,88.4707
300,         34.227,0.136751,0.136364,0.428513,0.901779,0.185074,93.0123
400,         47.864,0.136886,0.136364,0.475037,0.902664,0.210373,94.9081
500,         61.507,0.137024,0.136986,0.732285,0.90358,0.250748,95.9526
600,         75.202,0.135574,0.134529,0.799637,0.894012,0.270828,96.6749
700,         88.831,0.13578,0.129855,0.859787,0.895386,0.271393,97.0993
800,        101.907,0.126325,0.125646,0.821213,0.833023,0.273422,97.401
900,        114.799,0.133001,0.130013,0.819321,0.877045,0.272308,97.6048
1000,        128.019,0.13771,0.137381,0.80307,0.908112,0.242569,97.746
1100,        141.757,0.137847,0.137381,0.757416,0.909012,0.257507,97.9363
1200,        155.505,0.137987,0.137615,0.676529,0.909927,0.242676,98.0903
1300,        169.226,0.136666,0.136386,0.573502,0.911026,0.211151,98.2171
1400,        182.691,0.134617,0.134529,0.515015,0.911896,0.187134,98.2996
1500,        196.021,0.132909,0.131878,0.46788,0.912781,0.187897,98.3948
1600,        209.106,0.13158,0.127757,0.497208,0.91362,0.171204,98.4326
1700,        222.161,0.130814,0.13021,0.52388,0.914536,0.169617,98.4979
1800,        235.182,0.130255,0.13021,0.498245,0.915451,0.168549,98.5689
1900,        248.036,0.129764,0.129197,0.556824,0.916351,0.178253,98.586
2000,        260.956,0.129395,0.129197,0.603027,0.917267,0.169998,98.6414
2100,        273.863,0.129193,0.128755,0.611115,0.918167,0.173096,98.6979
2200,        286.738,0.129058,0.128755,0.588821,0.919098,0.180969,98.7434
2300,        299.614,0.128899,0.128755,0.584229,0.920013,0.18898,98.7899
2400,        312.489,0.128766,0.128755,0.588287,0.920914,0.185059,98.8375
2500,        325.274,0.128691,0.127733,0.59137,0.921844,0.185928,98.8564
2600,        338.077,0.128673,0.128205,0.594543,0.922775,0.184357,98.8807
2700,        350.897,0.128693,0.128205,0.586258,0.923691,0.165237,98.9081
2800,        363.718,0.128723,0.128205,0.586838,0.924622,0.167709,98.9328
2900,        376.538,0.128755,0.128205,0.576141,0.925537,0.169037,98.9551
3000,        389.359,0.128792,0.128205,0.552307,0.926453,0.169739,98.9749
3100,        402.232,0.128837,0.128755,0.544952,0.927383,0.170578,99.0055
3200,        415.107,0.128893,0.128755,0.527771,0.928314,0.170959,99.0337
3300,        427.983,0.128966,0.128755,0.519226,0.92923,0.171524,99.0588
3400,        440.858,0.129052,0.128755,0.505066,0.930161,0.172058,99.0805
3500,        453.734,0.129149,0.128755,0.495712,0.931107,0.161362,99.099
3600,        466.609,0.129245,0.128755,0.493546,0.932022,0.161469,99.1144
3700,        479.485,0.129336,0.128755,0.473419,0.932968,0.161911,99.127
3800,        492.414,0.129425,0.12931,0.46936,0.933899,0.161514,99.148
3900,        505.345,0.129517,0.12931,0.469711,0.93483,0.161652,99.1667
4000,        518.276,0.129615,0.12931,0.475952,0.935776,0.161758,99.1825
4100,        531.207,0.129722,0.12931,0.515961,0.936707,0.161606,99.1957
4200,        544.138,0.129836,0.12931,0.514084,0.937637,0.161713,99.2062
4300,        557.069,0.129954,0.12931,0.52858,0.938583,0.161743,99.2141
4400,        570.000,0.130069,0.12931,0.539078,0.939514,0.161743,99.2197
4500,        582.987,0.130179,0.12987,0.546173,0.940445,0.162048,99.2327
4600,        595.974,0.130288,0.12987,0.555695,0.941391,0.162277,99.2433
4700,        608.961,0.130398,0.12987,0.563156,0.942337,0.162613,99.2517
4800,        621.948,0.130516,0.12987,0.565399,0.943283,0.162842,99.2579
4900,        634.957,0.130641,0.130435,0.568268,0.944214,0.163055,99.2653
5000,        648.000,0.130775,0.130435,0.570312,0.94516,0.1633,99.2759
5100,        661.043,0.130915,0.130435,0.572586,0.946121,0.163544,99.284
5200,        674.087,0.13105,0.130435,0.570908,0.947067,0.163757,99.2897
5300,        687.130,0.131178,0.130435,0.567429,0.948013,0.16391,99.2933
5400,        700.218,0.131298,0.131004,0.568893,0.948959,0.164001,99.3014
5500,        713.319,0.131416,0.131004,0.571762,0.949905,0.164185,99.3093
5600,        726.419,0.131536,0.131004,0.573151,0.950851,0.164307,99.3152
5700,        739.520,0.131668,0.131004,0.574524,0.951797,0.16452,99.3193
5800,        752.632,0.131811,0.131579,0.575836,0.952759,0.164749,99.3229
5900,        765.789,0.131958,0.131579,0.572723,0.95372,0.165009,99.3305
6000,        778.947,0.132101,0.131579,0.568375,0.954666,0.165237,99.336
6100,        792.105,0.132235,0.131579,0.567856,0.955627,0.165375,99.3396
6200,        805.263,0.132354,0.131579,0.571274,0.956573,0.165451,99.3416
6300,        818.458,0.132472,0.132159,0.571533,0.957535,0.165527,99.3465
6400,        831.674,0.132594,0.132159,0.569748,0.958496,0.165665,99.3524
6500,        844.890,0.132729,0.132159,0.564545,0.959457,0.165863,99.3566
6600,        858.106,0.132873,0.132159,0.559036,0.960419,0.166122,99.359
6700,        871.327,0.13301,0.132743,0.558945,0.961395,0.166382,99.3604
6800,        884.602,0.133046,0.132743,0.557663,0.962326,0.166626,99.367
6900,        897.876,0.13324,0.132743,0.557556,0.963303,0.166824,99.3719
7000,        911.150,0.133313,0.132743,0.555588,0.964264,0.166718,99.3751
7100,        924.425,0.1334,0.132743,0.554123,0.965225,0.166748,99.3775
7200,        937.733,0.133549,0.133333,0.555084,0.966187,0.166931,99.3822
7300,        951.067,0.133651,0.133333,0.556412,0.967163,0.167099,99.388
7400,        964.400,0.133786,0.133333,0.557465,0.968109,0.167343,99.3925
7500,        977.733,0.133873,0.133333,0.557037,0.969101,0.167694,99.3956
