Stage                                             ,Total (s)   ,Elapsed (s) 
Initilisation (file opened)                       ,      0.00,      0.00
Searching Wibu Licence                            ,      0.01,      0.01
Found 2D domains                                  ,      0.20,      0.19
Start 2D BC Array Sizes Domain_001                ,      0.22,      0.01
End 2D BC Array Sizes Domain_001                  ,      0.22,      0.01
Start Estry Setup s0                              ,      0.22,      0.00
End Estry Setup s0                                ,      0.22,      0.00
Start TUFLOW Setup s2                             ,      0.23,      0.00
End TUFLOW Setup s2                               ,      0.40,      0.17
Reading Geometry File Domain_001                  ,      0.53,      0.14
Start Read GRID Zpts                              ,      0.55,      0.02
End Read GRID Zpts                                ,      0.59,      0.04
Start Read Read GIS Code                          ,      0.59,      0.00
End Read Read GIS Code                            ,      0.61,      0.01
Finished Reading Geometry File Domain_001         ,      0.63,      0.02
Start Read input file (stage 2) Domain_001        ,      0.63,      0.00
End Read input file (stage 2) Domain_001          ,      0.73,      0.10
Identifying cells within user defined output zones,      0.73,      0.00
Finished Identifying cells within user defined out,      0.73,      0.00
Setting instability water levels Domain_001       ,      0.73,      0.00
Finished Setting instability water levels Domain_0,      0.73,      0.01
Assigning any Variable Z Shape 1D Trigger Nodes   ,      0.74,      0.00
Finished Assigning any Variable Z Shape 1D Trigger,      0.74,      0.00
Start Reading Input File (Stage 3)                ,      0.74,      0.00
End Reading Input File (Stage 3)                  ,      0.75,      0.01
Reading Boundary File Domain_001                  ,      0.75,      0.00
Finished Reading Boundary File Domain_001         ,      0.82,      0.07
Initialising 2D Data (Stage 1) Domain_001         ,      0.82,      0.00
Finished Initialising 2D Data (Stage 1) Domain_001,      1.01,      0.19
Initialising 2D Data (Stage 2) Domain_001         ,      1.01,      0.00
Finished Initialising 2D Data (Stage 2) Domain_001,      1.19,      0.17
Start Writing _grd_check                          ,      1.23,      0.05
End Writing _grd_check                            ,      6.11,      4.88
Start Writing _zpt_check                          ,      6.11,      0.00
End Writing _zpt_check                            ,     13.04,      6.93
Start Writing _uvpt_check                         ,     13.04,      0.00
End Writing _uvpt_check                           ,     17.66,      4.62
Start Writing .2dm                                ,     17.73,      0.08
End Writing .2dm                                  ,     19.87,      2.13
Start Writing check DEMs                          ,     19.87,      0.00
Start Calculating grid interpolation factors      ,     19.87,      0.00
End Calculating grid interpolation factors        ,     20.24,      0.37
End Writing check DEMs                            ,     21.03,      0.79
Start Calculating grid interpolation factors      ,     21.03,      0.00
End Calculating grid interpolation factors        ,     21.40,      0.37
Starting Simulation                               ,     21.41,      0.01
Summary File Close                                ,     21.41,      0.00
