Stage                                             ,Total (s)   ,Elapsed (s) 
Initilisation (file opened)                       ,      0.00,      0.00
Searching Wibu Licence                            ,      0.01,      0.01
Found 2D domains                                  ,      0.34,      0.33
Start 2D BC Array Sizes Domain_001                ,      0.63,      0.29
End 2D BC Array Sizes Domain_001                  ,      0.66,      0.02
Start Estry Setup s0                              ,      0.66,      0.00
End Estry Setup s0                                ,      0.66,      0.00
Start TUFLOW Setup s2                             ,      0.66,      0.00
End TUFLOW Setup s2                               ,      0.98,      0.32
Reading Geometry File Domain_001                  ,      1.26,      0.28
Start Read GRID Zpts                              ,      1.28,      0.02
End Read GRID Zpts                                ,      1.32,      0.04
Start Read Read GIS Code                          ,      1.32,      0.00
End Read Read GIS Code                            ,      1.34,      0.02
Finished Reading Geometry File Domain_001         ,      1.36,      0.02
Start Read input file (stage 2) Domain_001        ,      1.36,      0.00
End Read input file (stage 2) Domain_001          ,      1.44,      0.07
Identifying cells within user defined output zones,      1.44,      0.00
Finished Identifying cells within user defined out,      1.44,      0.00
Setting instability water levels Domain_001       ,      1.44,      0.00
Finished Setting instability water levels Domain_0,      1.44,      0.00
Assigning any Variable Z Shape 1D Trigger Nodes   ,      1.44,      0.00
Finished Assigning any Variable Z Shape 1D Trigger,      1.44,      0.00
Start Reading Input File (Stage 3)                ,      1.44,      0.00
End Reading Input File (Stage 3)                  ,      1.45,      0.01
Reading Boundary File Domain_001                  ,      1.46,      0.00
Finished Reading Boundary File Domain_001         ,      1.61,      0.15
Initialising 2D Data (Stage 1) Domain_001         ,      1.61,      0.00
Finished Initialising 2D Data (Stage 1) Domain_001,      1.80,      0.19
Initialising 2D Data (Stage 2) Domain_001         ,      1.80,      0.00
Finished Initialising 2D Data (Stage 2) Domain_001,      1.98,      0.18
Start Writing _grd_check                          ,      2.00,      0.02
End Writing _grd_check                            ,      6.85,      4.85
Start Writing _zpt_check                          ,      6.85,      0.00
End Writing _zpt_check                            ,     15.26,      8.41
Start Writing _uvpt_check                         ,     15.26,      0.00
End Writing _uvpt_check                           ,     20.72,      5.46
Start Writing .2dm                                ,     20.79,      0.08
End Writing .2dm                                  ,     25.30,      4.51
Start Writing check DEMs                          ,     25.30,      0.00
Start Calculating grid interpolation factors      ,     25.30,      0.00
End Calculating grid interpolation factors        ,     25.65,      0.35
End Writing check DEMs                            ,     26.52,      0.87
Start Calculating grid interpolation factors      ,     26.52,      0.00
End Calculating grid interpolation factors        ,     26.90,      0.38
Starting Simulation                               ,     26.90,      0.01
Summary File Close                                ,     26.90,      0.00
