iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
100,          7.975,0.173621,0.173421,0.189148,1,0.0852661,60.3176
200,         25.318,0.173621,0.173421,0.169739,1,0.0600891,87.4204
300,         42.659,0.173621,0.17341,0.193527,1,0.0944214,92.4854
400,         60.000,0.173621,0.17341,0.192535,1,0.0925751,94.6221
500,         77.341,0.173621,0.17341,0.192841,1,0.0890503,95.8007
600,         94.682,0.173621,0.17341,0.192719,1,0.0823212,96.5475
700,        112.023,0.173621,0.17341,0.19252,1,0.0791931,97.0631
800,        129.364,0.173621,0.17341,0.192535,1,0.0776672,97.4405
900,        146.705,0.173621,0.17341,0.192505,1,0.0764923,97.7287
1000,        164.046,0.173621,0.17341,0.19252,1,0.0750122,97.9559
1100,        181.387,0.173621,0.17341,0.192474,1,0.0741425,98.1397
1200,        198.728,0.173621,0.17341,0.192459,1,0.0734711,98.2914
1300,        216.069,0.173621,0.17341,0.193787,1,0.0716248,98.4188
1400,        233.410,0.173621,0.17341,0.193649,1,0.0689087,98.5272
1500,        250.751,0.173621,0.17341,0.191559,1,0.063736,98.6207
1600,        268.092,0.173621,0.17341,0.187897,1,0.0583496,98.702
1700,        285.434,0.173621,0.17341,0.178589,1,0.0452728,98.7735
1800,        302.775,0.173621,0.17341,0.170105,1,0.0435791,98.8368
1900,        320.116,0.173621,0.17341,0.159241,1,0.042572,98.8932
2000,        337.457,0.173621,0.17341,0.144028,1,0.040802,98.9438
2100,        354.798,0.173621,0.17341,0.129166,1,0.038208,98.9895
2200,        372.139,0.173621,0.17341,0.120361,1,0.0334625,99.0309
2300,        389.480,0.173621,0.17341,0.108429,1,0.0287018,99.0687
2400,        406.821,0.173621,0.17341,0.0908508,1,0.0233154,99.1032
2500,        424.162,0.173621,0.17341,0.0641174,1,0.0230713,99.1349
2600,        441.503,0.173621,0.17341,0.0495453,1,0.0180817,99.1641
2700,        458.844,0.173621,0.17341,0.0408173,1,0.0197449,99.1911
2800,        476.185,0.173621,0.17341,0.0365295,1,0.0161743,99.2161
2900,        493.526,0.173621,0.17341,0.0267487,1,0.00845337,99.2394
3000,        510.867,0.173621,0.17341,0.029129,1,0.0100708,99.2611
3100,        528.208,0.173621,0.17341,0.0258789,1,0.0106049,99.2814
3200,        545.549,0.173621,0.17341,0.0205994,1,0.00738525,99.3003
3300,        562.890,0.173621,0.17341,0.0182037,1,0.00737,99.3181
3400,        580.231,0.173621,0.17341,0.0166321,1,0.00601196,99.3349
3500,        597.572,0.173621,0.17341,0.0152435,1,0.00534058,99.3507
3600,        614.913,0.173621,0.17341,0.0135651,1,0.00680542,99.3655
3700,        632.254,0.173621,0.17341,0.0125885,1,0.00769043,99.3796
3800,        649.595,0.173621,0.17341,0.0117493,1,0.00688171,99.3929
3900,        666.936,0.173621,0.17341,0.0110474,1,0.00456238,99.4055
4000,        684.277,0.173621,0.17341,0.0152588,1,0.00849915,99.4175
4100,        701.618,0.173621,0.17341,0.0098877,1,0.00325012,99.4289
4200,        718.960,0.173621,0.17341,0.0329437,1,0.021347,99.4398
4300,        736.301,0.173621,0.17341,0.016922,1,0.00930786,99.4501
4400,        753.642,0.173621,0.17341,0.0391846,1,0.0233002,99.46
4500,        770.983,0.173621,0.17341,0.0457306,1,0.0247955,99.4694
4600,        788.324,0.173621,0.17341,0.0312042,1,0.018631,99.4784
4700,        805.665,0.173621,0.17341,0.0170135,1,0.00822449,99.487
4800,        823.006,0.173621,0.17341,0.0275421,1,0.0163574,99.4952
