Stage                                             ,Total (s)   ,Elapsed (s) 
Initilisation (file opened)                       ,      0.00,      0.00
Searching Wibu Licence                            ,      0.01,      0.01
Found 2D domains                                  ,      0.32,      0.31
Start 2D BC Array Sizes Domain_001                ,      0.62,      0.30
End 2D BC Array Sizes Domain_001                  ,      0.63,      0.01
Start Estry Setup s0                              ,      0.63,      0.00
End Estry Setup s0                                ,      0.63,      0.00
Start TUFLOW Setup s2                             ,      0.63,      0.00
End TUFLOW Setup s2                               ,      0.84,      0.21
Reading Geometry File Domain_001                  ,      1.14,      0.30
Start Read GRID Zpts                              ,      1.16,      0.02
End Read GRID Zpts                                ,      1.22,      0.06
Start Read Read GIS Code                          ,      1.23,      0.00
End Read Read GIS Code                            ,      1.25,      0.02
Finished Reading Geometry File Domain_001         ,      1.27,      0.02
Start Read input file (stage 2) Domain_001        ,      1.27,      0.00
End Read input file (stage 2) Domain_001          ,      1.40,      0.13
Identifying cells within user defined output zones,      1.40,      0.00
Finished Identifying cells within user defined out,      1.40,      0.00
Setting instability water levels Domain_001       ,      1.40,      0.00
Finished Setting instability water levels Domain_0,      1.40,      0.00
Assigning any Variable Z Shape 1D Trigger Nodes   ,      1.41,      0.00
Finished Assigning any Variable Z Shape 1D Trigger,      1.41,      0.00
Start Reading Input File (Stage 3)                ,      1.41,      0.00
End Reading Input File (Stage 3)                  ,      1.42,      0.01
Reading Boundary File Domain_001                  ,      1.42,      0.00
Finished Reading Boundary File Domain_001         ,      1.65,      0.24
Initialising 2D Data (Stage 1) Domain_001         ,      1.66,      0.01
Finished Initialising 2D Data (Stage 1) Domain_001,      1.84,      0.18
Initialising 2D Data (Stage 2) Domain_001         ,      1.85,      0.00
Finished Initialising 2D Data (Stage 2) Domain_001,      2.03,      0.18
Start Writing _grd_check                          ,      2.04,      0.02
End Writing _grd_check                            ,      7.36,      5.31
Start Writing _zpt_check                          ,      7.36,      0.00
End Writing _zpt_check                            ,     13.82,      6.47
Start Writing _uvpt_check                         ,     13.82,      0.00
End Writing _uvpt_check                           ,     18.16,      4.33
Start Writing .2dm                                ,     18.24,      0.08
End Writing .2dm                                  ,     22.67,      4.44
Start Writing check DEMs                          ,     22.67,      0.00
Start Calculating grid interpolation factors      ,     22.67,      0.00
End Calculating grid interpolation factors        ,     23.02,      0.35
End Writing check DEMs                            ,     23.87,      0.85
Start Calculating grid interpolation factors      ,     23.87,      0.00
End Calculating grid interpolation factors        ,     24.23,      0.36
Starting Simulation                               ,     24.23,      0.01
Summary File Close                                ,     24.23,      0.00
