iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
100,          7.904,0.160175,0.160118,0.414307,1,0.16214,64.8871
200,         23.916,0.160175,0.160118,0.422791,1,0.171951,88.3717
300,         39.894,0.160175,0.159574,0.285431,1,0.148346,92.9305
400,         55.851,0.160175,0.159574,0.468292,1,0.198395,94.8432
500,         71.809,0.160175,0.159574,0.424362,1,0.233139,95.9058
600,         87.766,0.160175,0.159574,0.43692,1,0.228485,96.582
700,        103.648,0.153263,0.152823,0.696564,0.956848,0.29982,97.055
800,        118.582,0.1459,0.141833,0.733658,0.910873,0.30043,97.2898
900,        133.551,0.148769,0.148192,0.807007,0.928787,0.300201,97.5312
1000,        147.914,0.144759,0.139091,0.804077,0.903748,0.299835,97.6803
1100,        162.183,0.136844,0.136006,0.75444,0.85434,0.300858,97.8147
1200,        177.922,0.160176,0.159872,0.877533,1,0.277267,97.9501
1300,        193.883,0.160176,0.159574,0.867752,1,0.280106,98.0899
1400,        209.840,0.160176,0.159574,0.804428,1,0.279892,98.2066
1500,        225.798,0.160176,0.159574,0.762817,1,0.2677,98.3068
1600,        241.755,0.160176,0.159574,0.713318,1,0.259323,98.3938
1700,        257.713,0.160176,0.159574,0.625122,1,0.263168,98.47
1800,        273.670,0.160176,0.159574,0.585175,1,0.274765,98.5373
1900,        289.628,0.160176,0.159574,0.537125,1,0.27507,98.5972
2000,        305.560,0.15891,0.158702,0.494858,1.00015,0.232162,98.6548
2100,        321.264,0.156965,0.155998,0.454559,1.00009,0.207016,98.6968
2200,        336.839,0.15554,0.15544,0.443771,1.00008,0.200455,98.7435
2300,        352.280,0.154332,0.15137,0.445114,1.00008,0.197968,98.7834
2400,        367.500,0.153185,0.153061,0.441025,1.00008,0.18544,98.7929
2500,        382.706,0.152048,0.151952,0.436798,1.00006,0.168976,98.8275
2600,        397.699,0.151248,0.150683,0.445679,1.00006,0.168472,98.8299
2700,        412.716,0.150527,0.148646,0.432541,1.00005,0.17337,98.8561
2800,        427.641,0.14994,0.149062,0.498764,1.00003,0.175674,98.8733
2900,        442.547,0.149483,0.149062,0.540451,1.00003,0.173996,98.8972
3000,        457.435,0.149144,0.148456,0.56485,1.00003,0.178268,98.9239
3100,        472.280,0.1488,0.148456,0.578842,1.00003,0.183182,98.947
3200,        487.117,0.148478,0.147631,0.587326,1.00002,0.185852,98.9737
3300,        501.880,0.148236,0.147631,0.595825,1,0.175995,98.9897
3400,        516.650,0.148028,0.147783,0.589813,1.00002,0.176437,99.0103
3500,        531.429,0.147836,0.147783,0.577606,1.00002,0.168137,99.0351
3600,        546.029,0.147681,0.147059,0.548462,1.00002,0.173599,99.0301
3700,        560.735,0.147543,0.147059,0.551987,1,0.186264,99.0457
3800,        575.441,0.14742,0.147059,0.554993,1,0.178497,99.0628
3900,        590.147,0.147312,0.147059,0.557098,1,0.168289,99.081
4000,        604.853,0.147224,0.147059,0.558975,1,0.177155,99.1
4100,        619.559,0.147139,0.147059,0.56076,1,0.169769,99.1194
4200,        634.265,0.14706,0.147059,0.562195,1,0.162415,99.1391
4300,        648.888,0.146991,0.146214,0.563461,1.00002,0.155075,99.1464
4400,        663.512,0.146919,0.146341,0.563309,1,0.168823,99.1546
4500,        678.146,0.146867,0.146341,0.558075,1,0.206192,99.1647
4600,        692.780,0.14682,0.146341,0.561905,1.00002,0.171921,99.1751
4700,        707.415,0.146769,0.146341,0.573898,1,0.177765,99.1858
4800,        722.049,0.146731,0.146341,0.549988,1,0.19133,99.1967
4900,        736.683,0.146699,0.146341,0.499512,1,0.201401,99.2076
5000,        751.317,0.146666,0.146341,0.494919,1,0.186615,99.2185
5100,        765.951,0.146634,0.146341,0.493927,1.00002,0.161316,99.2295
5200,        780.585,0.146603,0.146341,0.493317,1,0.161957,99.2404
5300,        795.220,0.146581,0.146341,0.491501,1,0.162491,99.2512
5400,        809.854,0.146561,0.146341,0.487564,1,0.163132,99.2619
5500,        824.488,0.146538,0.146341,0.482681,1,0.163147,99.2725
5600,        839.122,0.146525,0.146341,0.480789,1,0.163391,99.2829
5700,        853.756,0.146511,0.146341,0.47789,1,0.163681,99.2932
5800,        868.390,0.146496,0.146341,0.520798,1,0.16394,99.3032
5900,        883.024,0.146485,0.146341,0.502045,1,0.1642,99.3131
6000,        897.659,0.146473,0.146341,0.478653,1,0.164383,99.3228
6100,        912.293,0.146462,0.146341,0.475601,1,0.164536,99.3323
6200,        926.927,0.146453,0.146341,0.475647,1,0.164703,99.3415
6300,        941.561,0.146447,0.146341,0.475693,1,0.164825,99.3506
6400,        956.195,0.14644,0.146341,0.475693,1.00002,0.1651,99.3595
6500,        970.829,0.146433,0.146341,0.475769,1,0.165146,99.3682
6600,        985.463,0.146427,0.146341,0.475815,1,0.165222,99.3767
6700,       1000.098,0.146422,0.146341,0.475861,1,0.165298,99.385
6800,       1014.732,0.146415,0.146341,0.503021,0.999985,0.165375,99.3931
6900,       1029.366,0.146413,0.146341,0.514297,1.00002,0.165451,99.401
7000,       1044.000,0.146409,0.146341,0.515167,1,0.165527,99.4088
7100,       1058.634,0.146404,0.146341,0.530441,1,0.165588,99.4163
7200,       1073.268,0.146402,0.146341,0.532059,1,0.165619,99.4237
7300,       1087.902,0.146397,0.146341,0.531662,1,0.16568,99.4309
7400,       1102.537,0.146395,0.146341,0.54007,1,0.165939,99.438
7500,       1117.171,0.146393,0.146341,0.545792,1,0.165894,99.4449
7600,       1131.805,0.146391,0.146341,0.550156,1,0.165848,99.4516
7700,       1146.439,0.146389,0.146341,0.55452,1,0.165848,99.4582
7800,       1161.073,0.146386,0.146341,0.557739,1,0.165878,99.4646
7900,       1175.707,0.146386,0.146341,0.560043,1,0.165924,99.4709
