iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
100,          7.385,0.104468,0.104218,0.51767,0.725128,0.180023,78.1204
200,         18.137,0.129791,0.12895,0.631516,0.900894,0.242691,88.9242
300,         30.779,0.12992,0.12987,0.507553,0.901794,0.200317,93.0268
400,         43.766,0.130051,0.12987,0.722748,0.902695,0.252991,95.0692
500,         56.457,0.130182,0.126538,0.848236,0.90361,0.24707,96.0359
600,         69.130,0.130312,0.129629,0.876251,0.90451,0.223816,96.58
700,         82.093,0.130441,0.129629,0.822861,0.905411,0.245117,97.0293
800,         95.087,0.130572,0.130435,0.782501,0.906311,0.257278,97.3761
900,        108.124,0.130234,0.12909,0.714844,0.907578,0.20224,97.6702
1000,        120.890,0.127326,0.127119,0.649368,0.90831,0.196838,97.8489
1100,        133.498,0.12562,0.125014,0.628723,0.90918,0.198074,98.0271
1200,        145.917,0.124435,0.123726,0.60199,0.909988,0.197159,98.1476
1300,        158.285,0.123789,0.123382,0.597412,0.910904,0.19957,98.2663
1400,        170.592,0.123294,0.122184,0.600494,0.911789,0.196518,98.3642
1500,        182.828,0.122972,0.122951,0.614777,0.91272,0.196991,98.4317
1600,        195.070,0.122556,0.122376,0.620773,0.913635,0.197998,98.5151
1700,        207.231,0.122188,0.120402,0.631027,0.914551,0.198532,98.5647
1800,        219.382,0.121876,0.121285,0.619415,0.915497,0.178558,98.6195
1900,        231.504,0.121262,0.119668,0.605453,0.916412,0.174545,98.677
2000,        243.494,0.120721,0.120482,0.573746,0.917313,0.167999,98.6992
2100,        255.511,0.12043,0.119743,0.571808,0.918182,0.158295,98.7465
2200,        267.485,0.120709,0.119743,0.544815,0.919083,0.164307,98.7726
2300,        279.518,0.120842,0.120482,0.520416,0.920013,0.198807,98.8091
2400,        291.566,0.1211,0.120482,0.515289,0.920929,0.186417,98.8418
2500,        303.629,0.121168,0.120968,0.516602,0.92186,0.215149,98.8707
2600,        315.726,0.121209,0.120968,0.514572,0.922806,0.169205,98.9072
2700,        327.823,0.121002,0.120968,0.507553,0.923721,0.166809,98.9434
2800,        339.882,0.120992,0.12047,0.533096,0.924652,0.226593,98.9695
2900,        351.929,0.120993,0.12047,0.554962,0.925552,0.161453,98.9906
3000,        363.992,0.121265,0.120968,0.573074,0.926468,0.16243,99.0106
3100,        376.089,0.121378,0.120968,0.589554,0.927399,0.162598,99.0333
