Stage                                             ,Total (s)   ,Elapsed (s) 
Initilisation (file opened)                       ,      0.00,      0.00
Searching Wibu Licence                            ,      0.01,      0.01
Found 2D domains                                  ,      0.23,      0.22
Start 2D BC Array Sizes Domain_001                ,      0.32,      0.09
End 2D BC Array Sizes Domain_001                  ,      0.34,      0.02
Start Estry Setup s0                              ,      0.34,      0.00
End Estry Setup s0                                ,      0.34,      0.00
Start TUFLOW Setup s2                             ,      0.34,      0.00
End TUFLOW Setup s2                               ,      0.59,      0.25
Reading Geometry File Domain_001                  ,      0.72,      0.13
Start Read GRID Zpts                              ,      0.74,      0.02
End Read GRID Zpts                                ,      0.78,      0.04
Start Read Read GIS Code                          ,      0.78,      0.00
End Read Read GIS Code                            ,      0.81,      0.03
Finished Reading Geometry File Domain_001         ,      0.83,      0.02
Start Read input file (stage 2) Domain_001        ,      0.83,      0.00
End Read input file (stage 2) Domain_001          ,      0.90,      0.07
Identifying cells within user defined output zones,      0.90,      0.00
Finished Identifying cells within user defined out,      0.90,      0.00
Setting instability water levels Domain_001       ,      0.90,      0.00
Finished Setting instability water levels Domain_0,      0.90,      0.00
Assigning any Variable Z Shape 1D Trigger Nodes   ,      0.90,      0.00
Finished Assigning any Variable Z Shape 1D Trigger,      0.91,      0.00
Start Reading Input File (Stage 3)                ,      0.91,      0.00
End Reading Input File (Stage 3)                  ,      0.92,      0.01
Reading Boundary File Domain_001                  ,      0.92,      0.00
Finished Reading Boundary File Domain_001         ,      1.01,      0.09
Initialising 2D Data (Stage 1) Domain_001         ,      1.01,      0.00
Finished Initialising 2D Data (Stage 1) Domain_001,      1.20,      0.18
Initialising 2D Data (Stage 2) Domain_001         ,      1.20,      0.00
Finished Initialising 2D Data (Stage 2) Domain_001,      1.37,      0.18
Start Writing _grd_check                          ,      1.41,      0.03
End Writing _grd_check                            ,      6.79,      5.38
Start Writing _zpt_check                          ,      6.79,      0.00
End Writing _zpt_check                            ,     15.84,      9.05
Start Writing _uvpt_check                         ,     15.84,      0.00
End Writing _uvpt_check                           ,     22.23,      6.39
Start Writing .2dm                                ,     22.31,      0.08
End Writing .2dm                                  ,     27.03,      4.72
Start Writing check DEMs                          ,     27.03,      0.00
Start Calculating grid interpolation factors      ,     27.03,      0.00
End Calculating grid interpolation factors        ,     27.38,      0.35
End Writing check DEMs                            ,     29.21,      1.82
Start Calculating grid interpolation factors      ,     29.21,      0.00
End Calculating grid interpolation factors        ,     29.59,      0.38
Starting Simulation                               ,     29.59,      0.01
Summary File Close                                ,     29.59,      0.00
