iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
100,          7.639,0.115491,0.115264,0.529587,0.782364,0.246292,76.1173
200,         19.281,0.126701,0.126107,0.531128,0.858307,0.2267,89.2256
300,         32.522,0.133125,0.132743,0.463333,0.901825,0.179855,93.422
400,         45.796,0.133257,0.132743,0.538361,0.90271,0.22171,95.2308
500,         59.071,0.133391,0.132743,0.832504,0.903625,0.267914,96.2044
600,         71.802,0.125772,0.125506,0.817825,0.852005,0.271576,96.8378
700,         84.793,0.133659,0.133514,0.874054,0.905441,0.265656,97.2625
800,         98.121,0.133792,0.133408,0.857468,0.906342,0.270615,97.6042
900,        111.448,0.133927,0.133629,0.786987,0.907257,0.259308,97.8638
1000,        124.687,0.13406,0.133929,0.681793,0.908157,0.221069,97.9863
1100,        137.949,0.131672,0.130987,0.622345,0.909225,0.192413,98.1486
1200,        150.907,0.129813,0.129301,0.59874,0.910126,0.190872,98.2357
1300,        163.761,0.128076,0.12787,0.551086,0.910995,0.187851,98.3533
1400,        176.452,0.127152,0.126728,0.567886,0.911896,0.186966,98.434
1500,        189.096,0.126429,0.12593,0.544662,0.91275,0.18576,98.5232
1600,        201.674,0.125895,0.124273,0.582672,0.913651,0.184647,98.5975
1700,        214.130,0.125432,0.124975,0.60083,0.914566,0.183075,98.6291
1800,        226.628,0.125195,0.124975,0.612793,0.915451,0.194138,98.691
1900,        239.125,0.125298,0.124975,0.605911,0.916367,0.210068,98.7483
2000,        251.625,0.125261,0.125,0.613297,0.917297,0.191864,98.7985
2100,        264.092,0.124933,0.123077,0.60405,0.918243,0.174316,98.8389
2200,        276.473,0.124663,0.124481,0.606094,0.919144,0.172104,98.8564
2300,        288.921,0.12461,0.124481,0.598175,0.920044,0.170807,98.9008
2400,        301.369,0.124695,0.124481,0.568314,0.920944,0.162781,98.9407
2500,        313.817,0.124827,0.124481,0.542908,0.921875,0.177582,98.9735
2600,        326.266,0.124696,0.124481,0.526016,0.922821,0.177841,99.0032
2700,        338.695,0.124404,0.123868,0.520065,0.923752,0.178329,99.0325
2800,        351.081,0.124369,0.123868,0.519073,0.924652,0.179489,99.0527
2900,        363.485,0.124561,0.124481,0.501556,0.925568,0.180191,99.0737
3000,        375.934,0.124853,0.124481,0.501266,0.926483,0.187439,99.0983
3100,        388.382,0.12517,0.124481,0.499832,0.927414,0.168472,99.1135
3200,        400.875,0.125474,0.125,0.49675,0.928345,0.207733,99.1312
3300,        413.375,0.125599,0.125,0.517624,0.929306,0.158813,99.144
3400,        425.900,0.125531,0.125523,0.541718,0.930237,0.158585,99.1616
3500,        438.389,0.125474,0.124848,0.560913,0.931152,0.189621,99.1718
3600,        450.875,0.125495,0.125,0.563782,0.932083,0.181961,99.1811
3700,        463.375,0.125584,0.125,0.565277,0.932999,0.188019,99.1917
3800,        475.875,0.125706,0.125,0.574524,0.933945,0.18811,99.1994
3900,        488.410,0.125815,0.125523,0.576324,0.934875,0.165558,99.2115
4000,        500.962,0.125847,0.125523,0.580078,0.935822,0.183075,99.225
4100,        513.515,0.125836,0.125523,0.569443,0.936752,0.187622,99.2378
4200,        526.067,0.125905,0.125523,0.56218,0.937683,0.159485,99.2496
4300,        538.619,0.126108,0.125523,0.550079,0.938614,0.177963,99.2583
4400,        551.218,0.126384,0.12605,0.546738,0.939545,0.16011,99.2706
4500,        563.824,0.126563,0.12605,0.548523,0.940567,0.16069,99.2785
4600,        576.429,0.126608,0.12605,0.545395,0.941391,0.16124,99.2877
4700,        589.087,0.12709,0.126891,0.542267,0.942383,0.165619,99.2972
4800,        601.772,0.127081,0.126582,0.537369,0.943344,0.161133,99.3079
4900,        614.430,0.126885,0.126582,0.527283,0.944305,0.160034,99.315
5000,        627.089,0.126673,0.126582,0.520432,0.945175,0.183456,99.3272
5100,        639.747,0.127274,0.126582,0.534027,0.946167,0.188721,99.3333
5200,        652.405,0.127206,0.126582,0.540344,0.947174,0.189743,99.3352
5300,        665.063,0.126781,0.126582,0.541626,0.948029,0.18959,99.3434
5400,        677.722,0.127524,0.126582,0.548386,0.948975,0.191177,99.3472
5500,        690.381,0.127591,0.127119,0.550659,0.949951,0.191574,99.3453
5600,        703.093,0.127216,0.127119,0.550476,0.950928,0.170471,99.3533
5700,        715.805,0.127386,0.127119,0.561722,0.951843,0.16478,99.3628
5800,        728.517,0.127732,0.127119,0.569214,0.952805,0.162186,99.3678
5900,        741.229,0.127852,0.127119,0.572891,0.953781,0.177841,99.3692
6000,        753.942,0.127522,0.127114,0.573654,0.954758,0.162216,99.372
6100,        766.653,0.127781,0.127114,0.576889,0.955612,0.162552,99.3771
6200,        779.364,0.128079,0.127114,0.580658,0.956635,0.17276,99.3755
6300,        792.128,0.127919,0.12766,0.581146,0.957657,0.16301,99.3801
6400,        804.894,0.127964,0.12766,0.58432,0.958496,0.188126,99.3884
6500,        817.660,0.128254,0.12766,0.587494,0.959503,0.19075,99.3914
6600,        830.426,0.128308,0.12766,0.587845,0.960464,0.191498,99.3933
6700,        843.205,0.128334,0.128205,0.5896,0.961426,0.19191,99.3963
