iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
100,          7.177,0.0967471,0.0967097,0.505264,0.709793,0.234085,68.7294
200,         14.153,0.0516237,0.0516199,0.354752,0.379868,0.145782,81.417
300,         19.482,0.0497092,0.0496146,0.330811,0.399857,0.132858,85.0687
400,         24.799,0.0561065,0.0559268,0.425278,0.437271,0.137772,87.7059
500,         29.685,0.0494798,0.0449937,0.480423,0.409653,0.132706,89.3108
600,         33.521,0.0286809,0.0286567,0.289825,0.231537,0.127243,89.8785
700,         37.270,0.0406699,0.0406614,0.397217,0.325012,0.129791,90.5444
800,         41.334,0.0403163,0.0403156,0.289383,0.319016,0.130203,91.4666
900,         45.312,0.0416432,0.0416079,0.344849,0.327011,0.129105,92.0815
1000,         49.079,0.0422566,0.0421658,0.387939,0.342377,0.129684,92.461
1100,         53.175,0.0489254,0.0487491,0.418915,0.39473,0.127472,92.7244
1200,         57.581,0.0467088,0.0465268,0.367294,0.381134,0.122009,92.8498
1300,         62.067,0.0431916,0.0431732,0.291656,0.361374,0.115906,92.9886
1400,         66.709,0.0500119,0.0499805,0.345688,0.418655,0.141937,93.1872
1500,         71.609,0.0524964,0.0523969,0.324615,0.436569,0.120392,93.4747
1600,         76.002,0.0467466,0.0466592,0.376709,0.393341,0.111618,93.6282
1700,         80.116,0.0391829,0.0390674,0.278442,0.330994,0.0927124,93.7165
1800,         84.306,0.0383343,0.0382134,0.314682,0.318237,0.0983734,93.767
1900,         88.365,0.0487735,0.0480876,0.377029,0.394409,0.116806,93.7696
2000,         92.932,0.0466233,0.0465893,0.33223,0.395142,0.116104,93.9517
2100,         97.488,0.0453293,0.0452957,0.303268,0.39502,0.0867157,94.2191
2200,        102.008,0.0464221,0.0463702,0.321457,0.395767,0.118927,94.4304
2300,        106.611,0.0465106,0.0464893,0.299271,0.396027,0.0992889,94.6584
2400,        111.272,0.0469132,0.0466745,0.290451,0.396423,0.118851,94.8701
2500,        115.913,0.0474853,0.0469822,0.297577,0.39682,0.101059,95.0446
2600,        120.628,0.0484483,0.0483885,0.293381,0.397156,0.118469,95.1755
2700,        125.475,0.0469682,0.0468932,0.289917,0.398132,0.115692,95.3581
2800,        130.024,0.0457272,0.0457117,0.293457,0.397812,0.0832062,95.5146
2900,        134.652,0.0465298,0.0465085,0.31636,0.398392,0.0958252,95.6632
3000,        139.335,0.0470583,0.0469833,0.316635,0.39888,0.0836182,95.8023
3100,        144.021,0.0473037,0.0470788,0.321213,0.399246,0.101639,95.9298
3200,        148.647,0.0450065,0.0436396,0.281342,0.375641,0.120056,96.0155
3300,        153.020,0.0479117,0.0478364,0.302002,0.400101,0.111252,96.0343
3400,        157.500,0.0473,0.0472685,0.31221,0.396744,0.114243,96.101
3500,        162.101,0.0458989,0.0458958,0.304138,0.401047,0.124313,96.2074
3600,        166.453,0.0460617,0.045922,0.311859,0.391937,0.125504,96.2512
3700,        170.915,0.0429994,0.0428537,0.284073,0.366699,0.1129,96.3028
