Simulation Time,1D (%),2D (%),Other (%)
         2.0000,     0,   100,        0
         3.0000,     0,    99,        1
         4.0000,     0,    99,        1
         5.0000,     0,    99,        1
         6.0000,     0,    99,        1
         7.0000,     0,    99,        1
         8.0000,     0,    99,        1
         9.0000,     0,    99,        1
        10.0000,     0,    99,        1
        10.0000,     0,    98,        2
