iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
100,          7.995,0.184739,0.183374,0.56131,0.934921,0.240585,57.7972
200,         27.641,0.197596,0.196611,0.617523,1,0.218216,87.3841
300,         44.272,0.169527,0.16912,0.720123,0.857941,0.300659,91.7503
400,         60.814,0.163743,0.163048,0.724197,0.828674,0.299622,93.5479
500,         77.473,0.166877,0.164835,0.742096,0.887268,0.300232,94.8383
600,         94.014,0.167903,0.167651,0.755203,0.94899,0.299683,95.5794
700,        111.070,0.17237,0.171734,0.773026,1.00026,0.287735,96.1818
800,        127.955,0.169186,0.168284,0.690933,1.00015,0.284836,96.5492
900,        144.681,0.167627,0.166232,0.644485,1.00009,0.275284,96.878
1000,        161.333,0.166993,0.166667,0.616318,1.00003,0.26178,97.157
1100,        177.871,0.166284,0.163793,0.597717,1.00005,0.254074,97.3498
1200,        194.420,0.165909,0.165746,0.596298,1,0.244431,97.5477
1300,        210.824,0.165651,0.164835,0.641205,1.00003,0.239426,97.6601
1400,        227.308,0.165227,0.164835,0.653107,1.00002,0.227295,97.8051
1500,        243.791,0.165242,0.164835,0.63298,1,0.228317,97.9376
1600,        260.275,0.16503,0.164835,0.624512,1.00002,0.228073,98.0558
1700,        276.758,0.16494,0.164835,0.593613,1,0.228378,98.1674
1800,        293.187,0.164751,0.162219,0.510895,1.00002,0.228439,98.25
1900,        309.508,0.164332,0.163934,0.504883,1.00003,0.226456,98.3007
2000,        325.902,0.164131,0.163934,0.50325,1.00002,0.226364,98.3776
2100,        342.284,0.163909,0.162533,0.503098,1.00002,0.226685,98.4492
2200,        358.537,0.163654,0.162533,0.501984,1.00002,0.225449,98.4855
2300,        374.837,0.163566,0.163043,0.509171,1.00002,0.226151,98.5351
2400,        391.141,0.163292,0.163043,0.518097,1.00002,0.225311,98.5859
2500,        407.416,0.163008,0.161327,0.522018,1.00002,0.22467,98.6331
2600,        423.568,0.162663,0.162162,0.535217,1.00003,0.224945,98.6539
2700,        439.741,0.162019,0.160298,0.52478,1.00005,0.223328,98.6899
2800,        455.806,0.161569,0.16129,0.523636,1.00003,0.223099,98.7118
2900,        471.869,0.161139,0.159436,0.531342,1.00002,0.222519,98.7404
3000,        487.861,0.160768,0.160428,0.537125,1.00002,0.219116,98.7608
3100,        503.904,0.160454,0.160428,0.544754,1.00002,0.217392,98.7968
3200,        519.734,0.160239,0.159574,0.547958,1.00002,0.209641,98.7955
3300,        535.691,0.16008,0.159574,0.551285,1.00002,0.19957,98.8205
3400,        551.649,0.159831,0.159574,0.555145,1.00003,0.180923,98.8476
3500,        567.606,0.15959,0.159574,0.557388,1,0.218842,98.8778
3600,        583.492,0.159461,0.15873,0.560318,1,0.232391,98.897
3700,        599.365,0.159334,0.15873,0.561859,1,0.184219,98.9152
3800,        615.238,0.159237,0.15873,0.562668,1.00002,0.188339,98.9342
3900,        631.111,0.159099,0.15873,0.559906,1.00002,0.193466,98.954
4000,        646.984,0.158907,0.15873,0.556229,1.00002,0.197037,98.9756
4100,        662.857,0.158786,0.15873,0.54213,1.00002,0.201553,98.9985
4200,        678.674,0.158691,0.1573,0.528824,1.00002,0.206238,99.0136
4300,        694.421,0.158585,0.157895,0.533844,1,0.195175,99.0193
4400,        710.211,0.15849,0.157895,0.536545,1,0.202057,99.032
4500,        726.000,0.158365,0.157895,0.53862,1,0.167831,99.0457
4600,        741.789,0.158239,0.157895,0.541473,1.00002,0.166885,99.0606
4700,        757.579,0.158143,0.157895,0.544571,1,0.148071,99.0763
4800,        773.368,0.158029,0.157895,0.547928,1.00002,0.149185,99.0927
4900,        789.149,0.157882,0.156775,0.552155,1.00002,0.150085,99.109
5000,        804.826,0.157783,0.156775,0.553879,1,0.15094,99.1134
5100,        820.524,0.157704,0.157068,0.556488,1,0.169159,99.121
5200,        836.230,0.157622,0.157068,0.559311,1,0.180679,99.1304
5300,        851.937,0.157533,0.157068,0.562012,1,0.166214,99.1405
5400,        867.644,0.15744,0.157068,0.565033,1,0.164627,99.1512
5500,        883.351,0.15736,0.157068,0.568085,1,0.165543,99.1626
5600,        899.058,0.157286,0.157068,0.568161,1,0.153717,99.1744
5700,        914.764,0.157171,0.157068,0.56868,1.00002,0.152084,99.1869
5800,        930.471,0.157089,0.157068,0.570435,1,0.15213,99.2
5900,        946.114,0.157024,0.156028,0.571716,1,0.153397,99.2065
6000,        961.719,0.156962,0.15625,0.573288,1,0.157974,99.2097
6100,        977.344,0.156905,0.15625,0.5746,1,0.161072,99.2154
6200,        992.969,0.156854,0.15625,0.575897,1,0.157959,99.2214
6300,       1008.594,0.156811,0.15625,0.578217,1,0.15892,99.2277
6400,       1024.219,0.156773,0.15625,0.579865,1,0.159836,99.2343
6500,       1039.844,0.156732,0.15625,0.580887,1,0.167664,99.2409
6600,       1055.469,0.156694,0.15625,0.581818,1,0.170059,99.2478
6700,       1071.094,0.156651,0.15625,0.582748,1,0.17218,99.2548
6800,       1086.719,0.156606,0.15625,0.583359,1,0.174042,99.2621
6900,       1102.344,0.156565,0.15625,0.585754,1,0.175797,99.2695
7000,       1117.969,0.156529,0.15625,0.586807,1,0.177521,99.2771
7100,       1133.594,0.156496,0.15625,0.587463,1,0.178741,99.2847
7200,       1149.219,0.15646,0.15625,0.587906,1,0.174973,99.2925
7300,       1164.844,0.156427,0.15625,0.588455,1.00002,0.176193,99.3003
7400,       1180.469,0.156393,0.15625,0.589142,1,0.177765,99.3082
7500,       1196.094,0.156367,0.15625,0.589828,1,0.179962,99.3162
7600,       1211.719,0.156348,0.15625,0.590408,1.00002,0.182404,99.3241
7700,       1227.344,0.156324,0.15625,0.590988,1,0.184021,99.332
7800,       1242.969,0.156298,0.15625,0.591431,1,0.185776,99.3399
7900,       1258.594,0.156269,0.15625,0.591721,1,0.187286,99.3479
8000,       1274.190,0.156243,0.155,0.591751,1,0.188049,99.3536
8100,       1289.690,0.156221,0.155,0.592209,1,0.188507,99.3519
8200,       1305.233,0.1562,0.15544,0.592392,1,0.189606,99.3536
8300,       1320.777,0.156181,0.15544,0.592667,1,0.190292,99.3556
8400,       1336.321,0.156162,0.15544,0.592972,1,0.190735,99.3576
8500,       1351.865,0.156145,0.15544,0.593277,1,0.191605,99.3598
8600,       1367.409,0.156129,0.15544,0.593506,1,0.191833,99.362
8700,       1382.953,0.156114,0.15544,0.594009,1,0.1931,99.3643
8800,       1398.497,0.1561,0.15544,0.594376,1,0.193802,99.3666
8900,       1414.041,0.156086,0.15544,0.594818,1,0.194305,99.3689
9000,       1429.585,0.156071,0.15544,0.595276,1,0.194641,99.3714
9100,       1445.130,0.156057,0.15544,0.595718,1,0.194855,99.3738
9200,       1460.674,0.15604,0.15544,0.595871,1,0.195496,99.3763
9300,       1476.218,0.156026,0.15544,0.595184,1,0.195679,99.3789
9400,       1491.762,0.156014,0.15544,0.594803,1,0.195831,99.3815
9500,       1507.306,0.156002,0.15544,0.594986,1,0.195938,99.3841
9600,       1522.850,0.15599,0.15544,0.595078,1,0.196075,99.3868
9700,       1538.394,0.155981,0.15544,0.59523,1.00002,0.196213,99.3895
9800,       1553.938,0.155969,0.15544,0.595276,1,0.196289,99.3921
9900,       1569.482,0.155957,0.15544,0.595413,1,0.196381,99.3948
10000,       1585.026,0.155948,0.15544,0.59552,1,0.196442,99.3976
10100,       1600.570,0.155938,0.15544,0.595718,1,0.196518,99.4003
10200,       1616.114,0.155929,0.15544,0.596008,1,0.196564,99.403
10300,       1631.658,0.155919,0.15544,0.596069,1,0.196564,99.4057
10400,       1647.202,0.155912,0.15544,0.596283,1,0.196579,99.4085
10500,       1662.746,0.1559,0.15544,0.596481,1,0.196533,99.4112
10600,       1678.290,0.15589,0.15544,0.596481,1,0.196442,99.414
10700,       1693.834,0.155883,0.15544,0.596527,1,0.196533,99.4167
10800,       1709.378,0.155876,0.15544,0.596756,1,0.196533,99.4195
10900,       1724.922,0.155869,0.15544,0.596924,1,0.196503,99.4222
11000,       1740.466,0.155862,0.15544,0.596863,1,0.196457,99.4249
11100,       1756.010,0.155857,0.15544,0.596924,1,0.196304,99.4276
11200,       1771.554,0.15585,0.15544,0.597137,1,0.196213,99.4303
11300,       1787.098,0.155845,0.15544,0.597366,1,0.196121,99.433
11400,       1802.642,0.155841,0.15544,0.597458,1,0.19606,99.4357
11500,       1818.187,0.155833,0.15544,0.597534,1,0.196045,99.4383
11600,       1833.731,0.155829,0.15544,0.59761,1,0.195969,99.4409
11700,       1849.275,0.155824,0.15544,0.597626,1,0.195923,99.4436
11800,       1864.819,0.155822,0.15544,0.597687,1,0.195892,99.4461
11900,       1880.363,0.155817,0.15544,0.597748,1,0.195862,99.4487
12000,       1895.907,0.155812,0.15544,0.597794,1,0.195847,99.4513
12100,       1911.451,0.155807,0.15544,0.597839,1,0.195801,99.4538
12200,       1926.995,0.155805,0.15544,0.597916,1,0.195862,99.4563
12300,       1942.539,0.1558,0.15544,0.597961,1,0.195831,99.4588
12400,       1958.083,0.155798,0.15544,0.598038,1,0.195786,99.4613
12500,       1973.627,0.155793,0.15544,0.598083,1,0.195694,99.4637
12600,       1989.171,0.155791,0.15544,0.598114,1,0.195602,99.4662
12700,       2004.715,0.155786,0.15544,0.598083,1,0.195511,99.4686
12800,       2020.259,0.155783,0.15544,0.598083,1,0.195435,99.471
12900,       2035.803,0.155781,0.15544,0.598083,1,0.195389,99.4733
13000,       2051.347,0.155779,0.15544,0.598053,1,0.195343,99.4757
13100,       2066.891,0.155776,0.15544,0.598007,1,0.195312,99.478
13200,       2082.435,0.155774,0.15544,0.598068,1,0.195297,99.4803
13300,       2097.979,0.155772,0.15544,0.598206,1,0.195282,99.4826
13400,       2113.523,0.155769,0.15544,0.598328,1.00002,0.195251,99.4848
13500,       2129.067,0.155764,0.15544,0.598434,1,0.195236,99.487
13600,       2144.611,0.155764,0.15544,0.598465,1.00002,0.195236,99.4892
13700,       2160.155,0.155762,0.15544,0.598404,1,0.19519,99.4914
13800,       2175.699,0.15576,0.15544,0.598358,1,0.19516,99.4936
13900,       2191.244,0.155757,0.15544,0.598297,1,0.195145,99.4958
14000,       2206.788,0.155755,0.15544,0.598282,1,0.195145,99.4979
14100,       2222.332,0.155753,0.15544,0.598404,1,0.195129,99.5
14200,       2237.876,0.155753,0.15544,0.598511,1,0.195129,99.5021
14300,       2253.420,0.15575,0.15544,0.598602,1,0.195114,99.5041
14400,       2268.964,0.155748,0.15544,0.598694,1,0.195099,99.5062
