iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
100,          6.209,0.0880565,0.0877897,0.599426,0.565964,0.288239,68.7167
200,         15.829,0.0669283,0.0668428,0.343292,0.430161,0.185577,81.2983
300,         23.346,0.0877357,0.087554,0.54184,0.58667,0.192017,85.9436
400,         31.640,0.0819925,0.0819644,0.526901,0.591812,0.158218,89.0671
500,         39.180,0.0778567,0.0776882,0.416031,0.535583,0.177628,91.0869
600,         47.048,0.0824142,0.0819771,0.50647,0.580719,0.182938,92.3902
700,         55.105,0.0794981,0.0789562,0.503876,0.548294,0.178299,93.4311
800,         62.766,0.0826144,0.0825282,0.571503,0.594742,0.154938,93.9798
900,         70.468,0.0755532,0.0754131,0.473984,0.551071,0.157043,94.5745
1000,         78.405,0.0706052,0.0702702,0.422562,0.500793,0.178848,95.0441
1100,         85.876,0.0715299,0.0711009,0.441574,0.501999,0.178894,95.3383
1200,         93.022,0.0721502,0.0721333,0.471146,0.520248,0.179138,95.6352
1300,        100.633,0.0809653,0.080696,0.476578,0.597885,0.153946,95.9163
1400,        108.567,0.0786626,0.0783089,0.466614,0.598282,0.169052,96.1959
1500,        116.490,0.0809801,0.0797714,0.496597,0.598938,0.163818,96.4023
1600,        124.543,0.0813948,0.0813336,0.476639,0.599594,0.160004,96.5877
1700,        132.635,0.0805992,0.0803953,0.452301,0.600266,0.14563,96.7849
1800,        140.588,0.0793295,0.079096,0.443542,0.600815,0.120087,96.9541
1900,        148.378,0.0785308,0.0772164,0.432083,0.601242,0.101562,97.0739
2000,        156.285,0.0802276,0.0801177,0.448715,0.601898,0.167465,97.1955
2100,        164.337,0.0808378,0.0807351,0.439545,0.6026,0.161285,97.325
2200,        172.380,0.0802963,0.0802108,0.516693,0.603271,0.15509,97.438
2300,        180.318,0.0797331,0.0795756,0.461548,0.603851,0.150879,97.5229
2400,        188.252,0.0794254,0.0793733,0.457748,0.604324,0.146286,97.6218
2500,        196.222,0.0802399,0.0801045,0.459381,0.60498,0.164139,97.7095
2600,        204.232,0.0802576,0.0801045,0.450378,0.605621,0.154419,97.7919
2700,        212.156,0.0799028,0.0797832,0.449097,0.606277,0.144318,97.8351
2800,        220.098,0.0791973,0.078978,0.444138,0.606842,0.140579,97.9078
2900,        228.005,0.0795981,0.0794345,0.433792,0.607391,0.12973,97.9698
3000,        235.949,0.0800234,0.0794345,0.421387,0.608002,0.151459,98.0215
3100,        243.920,0.0800567,0.08,0.413055,0.608658,0.152573,98.0719
3200,        251.912,0.0798583,0.0796825,0.410141,0.609299,0.152344,98.1293
3300,        259.859,0.0797092,0.0792272,0.429047,0.609894,0.156097,98.1765
3400,        267.782,0.0801504,0.0792272,0.446854,0.610428,0.147064,98.205
3500,        275.775,0.0804172,0.0802139,0.454178,0.611084,0.156723,98.243
