Stage                                             ,Total (s)   ,Elapsed (s) 
Initilisation (file opened)                       ,      0.00,      0.00
Searching Wibu Licence                            ,      0.01,      0.01
Found 2D domains                                  ,      0.34,      0.33
Start 2D BC Array Sizes Domain_001                ,      0.84,      0.49
End 2D BC Array Sizes Domain_001                  ,      0.84,      0.01
Start Estry Setup s0                              ,      0.84,      0.00
End Estry Setup s0                                ,      0.84,      0.00
Start TUFLOW Setup s2                             ,      0.85,      0.00
End TUFLOW Setup s2                               ,      1.19,      0.34
Reading Geometry File Domain_001                  ,      1.35,      0.16
Start Read GRID Zpts                              ,      1.37,      0.02
End Read GRID Zpts                                ,      1.45,      0.07
Start Read Read GIS Code                          ,      1.45,      0.00
End Read Read GIS Code                            ,      1.48,      0.03
Finished Reading Geometry File Domain_001         ,      1.51,      0.02
Start Read input file (stage 2) Domain_001        ,      1.51,      0.00
End Read input file (stage 2) Domain_001          ,      1.55,      0.04
Identifying cells within user defined output zones,      1.55,      0.00
Finished Identifying cells within user defined out,      1.56,      0.00
Setting instability water levels Domain_001       ,      1.56,      0.00
Finished Setting instability water levels Domain_0,      1.56,      0.00
Assigning any Variable Z Shape 1D Trigger Nodes   ,      1.56,      0.00
Finished Assigning any Variable Z Shape 1D Trigger,      1.56,      0.00
Start Reading Input File (Stage 3)                ,      1.56,      0.00
End Reading Input File (Stage 3)                  ,      1.57,      0.01
Reading Boundary File Domain_001                  ,      1.57,      0.00
Finished Reading Boundary File Domain_001         ,      1.71,      0.13
Initialising 2D Data (Stage 1) Domain_001         ,      1.71,      0.00
Finished Initialising 2D Data (Stage 1) Domain_001,      1.93,      0.22
Initialising 2D Data (Stage 2) Domain_001         ,      1.93,      0.00
Finished Initialising 2D Data (Stage 2) Domain_001,      2.16,      0.22
Start Writing _grd_check                          ,      2.17,      0.01
End Writing _grd_check                            ,     13.22,     11.05
Start Writing _zpt_check                          ,     13.22,      0.00
End Writing _zpt_check                            ,     28.12,     14.90
Start Writing _uvpt_check                         ,     28.12,      0.00
End Writing _uvpt_check                           ,     40.02,     11.90
Start Writing .2dm                                ,     40.12,      0.10
End Writing .2dm                                  ,     43.15,      3.03
Start Writing check DEMs                          ,     43.15,      0.00
Start Calculating grid interpolation factors      ,     43.15,      0.00
End Calculating grid interpolation factors        ,     43.89,      0.75
End Writing check DEMs                            ,     44.83,      0.93
Start Calculating grid interpolation factors      ,     44.83,      0.00
End Calculating grid interpolation factors        ,     45.59,      0.77
Starting Simulation                               ,     45.60,      0.01
Summary File Close                                ,     45.60,      0.00
