iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
100,          7.818,0.151723,0.1509,0.68959,0.819489,0.295853,72.2288
200,         24.681,0.16673,0.166204,0.620285,0.900558,0.264893,90.2471
300,         37.655,0.126933,0.126242,0.601181,0.685593,0.269821,92.9329
400,         50.485,0.163945,0.161266,0.878555,0.900558,0.270218,94.2458
500,         65.789,0.145119,0.144974,0.678116,0.830048,0.270721,95.3917
600,         80.428,0.148385,0.147254,0.720566,0.893295,0.270157,96.1354
700,         95.129,0.146617,0.146301,0.704865,0.905075,0.243591,96.6227
800,        109.640,0.145208,0.143887,0.678314,0.906021,0.253311,97.0122
900,        124.038,0.144258,0.144231,0.729843,0.906982,0.236496,97.2935
1000,        138.382,0.143926,0.143429,0.735474,0.907791,0.221146,97.5356
1100,        152.740,0.144264,0.144231,0.726089,0.908691,0.246109,97.7298
1200,        167.105,0.143662,0.143276,0.700516,0.909653,0.227859,97.9003
1300,        181.286,0.142875,0.142857,0.660934,0.910461,0.232452,97.988
1400,        195.519,0.142452,0.141975,0.634964,0.911453,0.22377,98.1144
1500,        209.581,0.141207,0.139609,0.617889,0.912399,0.216339,98.184
1600,        223.619,0.14066,0.140007,0.587601,0.913269,0.212006,98.2761
1700,        237.620,0.140535,0.140007,0.585587,0.914185,0.183441,98.3525
1800,        251.634,0.140183,0.139133,0.556625,0.9151,0.171371,98.4351
1900,        265.548,0.139995,0.139133,0.515732,0.916,0.152695,98.4822
2000,        279.488,0.139975,0.139535,0.522141,0.916916,0.141861,98.5375
2100,        293.442,0.139875,0.139535,0.55365,0.917847,0.153854,98.5936
2200,        307.395,0.139807,0.139535,0.53949,0.918777,0.152527,98.6477
2300,        321.349,0.13974,0.139535,0.550461,0.919693,0.139099,98.699
2400,        335.302,0.139651,0.139535,0.560944,0.920609,0.158173,98.7485
2500,        349.256,0.139638,0.139535,0.573654,0.921509,0.163696,98.7956
2600,        363.209,0.139621,0.139535,0.582245,0.92244,0.164505,98.839
2700,        377.163,0.139577,0.139535,0.584183,0.92337,0.166077,98.8804
2800,        391.116,0.13955,0.139535,0.585709,0.924286,0.14328,98.9196
2900,        405.023,0.139519,0.138679,0.588028,0.925217,0.15744,98.9452
3000,        418.891,0.13952,0.138679,0.590012,0.926132,0.164566,98.9602
3100,        432.778,0.139542,0.138889,0.592682,0.927063,0.171478,98.9784
3200,        446.667,0.139571,0.138889,0.589554,0.927994,0.169266,98.9953
3300,        460.605,0.139604,0.139535,0.591766,0.928909,0.175629,99.0212
3400,        474.558,0.139635,0.139535,0.593719,0.92984,0.178284,99.0482
3500,        488.512,0.139662,0.139535,0.595154,0.930786,0.13382,99.073
3600,        502.465,0.139684,0.139535,0.595276,0.931717,0.140976,99.096
3700,        516.419,0.139698,0.139535,0.593903,0.932648,0.140594,99.1174
3800,        530.372,0.139709,0.139535,0.596146,0.933578,0.138824,99.1375
3900,        544.326,0.139718,0.139535,0.596359,0.934509,0.139206,99.1563
4000,        558.279,0.139736,0.139535,0.598755,0.935455,0.139725,99.174
4100,        572.233,0.13976,0.139535,0.600677,0.936386,0.141739,99.1904
4200,        586.186,0.139785,0.139535,0.603653,0.937317,0.142395,99.2057
4300,        600.140,0.139822,0.139535,0.606216,0.938248,0.142975,99.2197
4400,        614.093,0.139853,0.139535,0.606873,0.939178,0.161835,99.2324
4500,        628.047,0.139888,0.139535,0.606583,0.940125,0.170914,99.2441
4600,        642.000,0.139924,0.139535,0.606079,0.941071,0.169891,99.2548
4700,        655.953,0.139967,0.139535,0.605011,0.942017,0.152313,99.2644
4800,        669.907,0.140024,0.139535,0.60463,0.942947,0.154022,99.2728
4900,        683.860,0.140082,0.139535,0.604843,0.943909,0.154999,99.2801
5000,        697.814,0.140145,0.139535,0.604919,0.944824,0.155197,99.2862
5100,        711.767,0.140218,0.139535,0.604645,0.945801,0.155563,99.2912
