Simulation Time,1D (%),2D (%),Other (%)
         2.0000,     0,   100,        0
         3.0000,     0,    94,        6
         4.0000,     0,    94,        6
         5.0000,     0,    91,        9
         6.0000,     0,    91,        9
         7.0000,     0,    91,        9
         8.0000,     0,    92,        8
         9.0000,     0,    93,        7
        10.0000,     0,    93,        7
        10.0000,     0,    93,        7
