iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
100,          5.957,0.0881572,0.0880683,0.747391,0.536362,0.255066,80.5779
200,         16.210,0.114126,0.113964,0.525742,0.694351,0.231171,89.0718
300,         27.765,0.108191,0.106446,0.69696,0.658249,0.244476,92.8989
400,         38.690,0.10597,0.105493,0.587799,0.696854,0.244293,94.5092
500,         49.531,0.11901,0.11896,0.746582,0.800491,0.24437,95.5942
600,         60.604,0.101173,0.101018,0.585434,0.692047,0.219482,96.1059
700,         70.316,0.0941004,0.0937343,0.629669,0.632385,0.219894,96.6233
800,         80.235,0.0997495,0.0996431,0.626389,0.678436,0.220566,96.9906
900,         90.000,0.100471,0.0975527,0.639236,0.686417,0.220413,97.1817
1000,         99.897,0.0983415,0.0980618,0.595749,0.678848,0.220642,97.4432
1100,        110.126,0.105784,0.105041,0.613678,0.736572,0.210587,97.6293
1200,        120.528,0.105635,0.105634,0.625595,0.73735,0.200531,97.7152
1300,        130.963,0.103634,0.103463,0.619095,0.738159,0.162567,97.8803
1400,        141.257,0.10303,0.102865,0.605499,0.738892,0.144913,98.0157
1500,        151.433,0.102679,0.102389,0.585785,0.739471,0.145874,98.0914
1600,        161.707,0.102958,0.102768,0.572586,0.74028,0.159683,98.2032
1700,        171.977,0.102738,0.101559,0.570786,0.741074,0.151077,98.2989
1800,        182.143,0.10233,0.102041,0.565689,0.741776,0.133026,98.3491
1900,        192.347,0.102282,0.102041,0.55899,0.742447,0.174561,98.4272
2000,        202.551,0.102961,0.102041,0.556656,0.743225,0.154327,98.4757
2100,        212.770,0.102687,0.10237,0.551987,0.744034,0.169205,98.5158
2200,        222.984,0.102192,0.10189,0.520828,0.744766,0.18074,98.5726
2300,        233.173,0.102237,0.10189,0.524078,0.745468,0.17012,98.6233
2400,        243.379,0.102691,0.102389,0.525452,0.746201,0.172913,98.6635
2500,        253.618,0.102698,0.102389,0.51384,0.746994,0.135559,98.7035
2600,        263.857,0.102582,0.102389,0.511261,0.747742,0.16954,98.7448
2700,        274.096,0.102563,0.102389,0.514145,0.748459,0.174332,98.7864
2800,        284.334,0.102922,0.102389,0.514084,0.749207,0.172119,98.8169
2900,        294.573,0.103016,0.102389,0.497864,0.749969,0.159088,98.8373
3000,        304.829,0.102761,0.10274,0.499451,0.750748,0.162201,98.8649
3100,        315.062,0.102539,0.102313,0.503418,0.751465,0.165833,98.8933
3200,        325.294,0.102874,0.102313,0.500626,0.752197,0.173004,98.9164
3300,        335.548,0.103093,0.10274,0.502121,0.752991,0.167801,98.9353
3400,        345.822,0.102864,0.10274,0.509659,0.753738,0.161087,98.9597
3500,        356.096,0.102829,0.10274,0.517014,0.754471,0.166702,98.9874
3600,        366.370,0.103037,0.10274,0.521133,0.755219,0.171738,99.0111
3700,        376.644,0.103246,0.10274,0.524734,0.755981,0.171204,99.0271
3800,        386.918,0.103273,0.10274,0.526764,0.75676,0.168015,99.0393
3900,        397.216,0.10331,0.103093,0.526154,0.757507,0.168472,99.0566
4000,        407.526,0.103393,0.103093,0.524719,0.758255,0.171936,99.0744
4100,        417.835,0.103663,0.103093,0.526566,0.759003,0.172638,99.0868
4200,        428.172,0.103667,0.103448,0.523148,0.759796,0.167999,99.1014
4300,        438.517,0.103519,0.103448,0.523209,0.760559,0.162521,99.1192
4400,        448.777,0.10338,0.101949,0.523987,0.761307,0.158569,99.1208
4500,        459.072,0.103497,0.103093,0.525314,0.76207,0.160172,99.1304
4600,        469.381,0.103616,0.103093,0.527237,0.762817,0.159897,99.1395
4700,        479.691,0.103684,0.103093,0.528976,0.763596,0.157455,99.1463
4800,        490.034,0.103679,0.103448,0.528992,0.764374,0.15654,99.1592
4900,        500.379,0.103815,0.103448,0.530884,0.765106,0.159622,99.1711
5000,        510.727,0.104084,0.103806,0.521698,0.765869,0.16333,99.1784
5100,        521.107,0.104115,0.103806,0.517151,0.766663,0.157898,99.1888
5200,        531.488,0.103987,0.103806,0.511322,0.767426,0.15358,99.2
5300,        541.869,0.103987,0.103806,0.502274,0.768188,0.156982,99.2126
5400,        552.249,0.104207,0.103806,0.507477,0.768951,0.159302,99.2221
5500,        562.630,0.1043,0.103806,0.496948,0.76973,0.156281,99.2283
5600,        573.021,0.104256,0.104167,0.495209,0.770493,0.152832,99.2358
5700,        583.437,0.104252,0.104167,0.499161,0.771255,0.15448,99.2482
5800,        593.854,0.104523,0.104167,0.498734,0.772003,0.158051,99.258
5900,        604.286,0.10474,0.10453,0.500366,0.772812,0.156647,99.2652
6000,        614.739,0.104716,0.10453,0.498779,0.77359,0.151978,99.2741
6100,        625.192,0.104617,0.10453,0.503662,0.774353,0.1521,99.2842
6200,        635.645,0.104741,0.10453,0.495575,0.775116,0.152969,99.2938
6300,        646.098,0.104886,0.10453,0.504318,0.775894,0.151413,99.3008
6400,        656.551,0.104915,0.10453,0.495911,0.776688,0.147507,99.3059
6500,        667.004,0.104844,0.104526,0.504379,0.777466,0.147919,99.3117
6600,        677.457,0.104991,0.104526,0.499573,0.778214,0.152374,99.317
6700,        687.909,0.105345,0.104526,0.507828,0.778992,0.154831,99.3179
6800,        698.421,0.105458,0.105263,0.511154,0.7798,0.151031,99.3237
6900,        708.947,0.105385,0.105263,0.516174,0.780579,0.149811,99.3315
7000,        719.474,0.105511,0.105263,0.512589,0.781342,0.155151,99.3391
7100,        730.000,0.105712,0.105263,0.518738,0.78215,0.15538,99.3435
7200,        740.526,0.105744,0.105263,0.513,0.782928,0.1483,99.3464
7300,        751.053,0.105603,0.105263,0.513901,0.783722,0.144821,99.3501
7400,        761.579,0.105655,0.105263,0.521637,0.784485,0.14888,99.3547
7500,        772.105,0.105971,0.105263,0.519211,0.785263,0.153854,99.3564
7600,        782.650,0.106158,0.106007,0.531891,0.786072,0.148987,99.3569
7700,        793.251,0.106114,0.106007,0.519928,0.786865,0.146118,99.3638
7800,        803.852,0.106164,0.106007,0.536621,0.787628,0.151169,99.3709
7900,        814.468,0.10655,0.106383,0.52597,0.788406,0.157257,99.3767
8000,        825.106,0.106635,0.106383,0.524857,0.789215,0.151077,99.382
8100,        835.745,0.10649,0.106383,0.532227,0.790024,0.144043,99.3877
8200,        846.383,0.106451,0.106383,0.523621,0.790771,0.147232,99.3949
8300,        857.021,0.106698,0.106383,0.541534,0.791565,0.152206,99.4004
8400,        867.660,0.10698,0.106383,0.525192,0.792374,0.150757,99.4022
8500,        878.327,0.10697,0.106762,0.54332,0.793167,0.146103,99.406
8600,        889.004,0.106891,0.106762,0.52536,0.793961,0.14888,99.4115
8700,        899.680,0.107295,0.106762,0.544449,0.794708,0.156738,99.4151
8800,        910.393,0.107546,0.107143,0.53392,0.795547,0.154617,99.4182
8900,        921.107,0.107478,0.107143,0.52681,0.796356,0.147797,99.4208
9000,        931.821,0.107299,0.107143,0.538315,0.797134,0.148483,99.4251
9100,        942.536,0.107493,0.107143,0.529633,0.797928,0.151108,99.4292
9200,        953.250,0.107768,0.107143,0.546875,0.798737,0.15004,99.4305
9300,        963.978,0.107777,0.107527,0.532181,0.799545,0.145111,99.4316
9400,        974.731,0.107639,0.107527,0.542465,0.800339,0.146973,99.4361
9500,        985.484,0.107951,0.107527,0.531738,0.801086,0.154358,99.4399
