Stage                                             ,Total (s)   ,Elapsed (s) 
Initilisation (file opened)                       ,      0.00,      0.00
Searching Wibu Licence                            ,      0.00,      0.00
Found 2D domains                                  ,      0.27,      0.26
Start 2D BC Array Sizes Domain_001                ,      0.60,      0.34
End 2D BC Array Sizes Domain_001                  ,      0.61,      0.01
Start Estry Setup s0                              ,      0.61,      0.00
End Estry Setup s0                                ,      0.61,      0.00
Start TUFLOW Setup s2                             ,      0.61,      0.00
End TUFLOW Setup s2                               ,      0.85,      0.24
Reading Geometry File Domain_001                  ,      1.04,      0.18
Start Read GRID Zpts                              ,      1.06,      0.02
End Read GRID Zpts                                ,      1.13,      0.07
Start Read Read GIS Code                          ,      1.13,      0.01
End Read Read GIS Code                            ,      1.23,      0.10
Finished Reading Geometry File Domain_001         ,      1.26,      0.03
Start Read input file (stage 2) Domain_001        ,      1.26,      0.00
End Read input file (stage 2) Domain_001          ,      1.34,      0.08
Identifying cells within user defined output zones,      1.34,      0.00
Finished Identifying cells within user defined out,      1.34,      0.00
Setting instability water levels Domain_001       ,      1.34,      0.00
Finished Setting instability water levels Domain_0,      1.34,      0.00
Assigning any Variable Z Shape 1D Trigger Nodes   ,      1.35,      0.00
Finished Assigning any Variable Z Shape 1D Trigger,      1.35,      0.00
Start Reading Input File (Stage 3)                ,      1.35,      0.00
End Reading Input File (Stage 3)                  ,      1.36,      0.01
Reading Boundary File Domain_001                  ,      1.36,      0.00
Finished Reading Boundary File Domain_001         ,      1.51,      0.15
Initialising 2D Data (Stage 1) Domain_001         ,      1.52,      0.00
Finished Initialising 2D Data (Stage 1) Domain_001,      1.73,      0.21
Initialising 2D Data (Stage 2) Domain_001         ,      1.73,      0.00
Finished Initialising 2D Data (Stage 2) Domain_001,      1.96,      0.23
Start Writing _grd_check                          ,      1.98,      0.01
End Writing _grd_check                            ,     13.25,     11.28
Start Writing _zpt_check                          ,     13.25,      0.00
End Writing _zpt_check                            ,     27.83,     14.58
Start Writing _uvpt_check                         ,     27.83,      0.00
End Writing _uvpt_check                           ,     40.04,     12.21
Start Writing .2dm                                ,     40.14,      0.10
End Writing .2dm                                  ,     45.34,      5.19
Start Writing check DEMs                          ,     45.34,      0.00
Start Calculating grid interpolation factors      ,     45.34,      0.00
End Calculating grid interpolation factors        ,     46.09,      0.75
End Writing check DEMs                            ,     47.68,      1.59
Start Calculating grid interpolation factors      ,     47.68,      0.00
End Calculating grid interpolation factors        ,     48.45,      0.77
Starting Simulation                               ,     48.46,      0.01
Summary File Close                                ,     48.46,      0.00
