Simulation Time,1D (%),2D (%),Other (%)
         2.0000,     0,   100,        0
         3.0000,     0,    99,        1
         4.0000,     0,    98,        2
         5.0000,     0,    98,        2
         6.0000,     0,    97,        3
         7.0000,     0,    97,        3
         8.0000,     0,    96,        4
         9.0000,     0,    96,        4
        10.0000,     0,    95,        5
        10.0000,     0,    94,        6
