iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
100,          7.223,0.121414,0.121155,0.555176,0.854218,0.267548,65.7758
200,         16.074,0.0812701,0.0809657,0.466568,0.571793,0.194473,81.4099
300,         23.073,0.0724233,0.0721517,0.441238,0.55159,0.193817,86.0059
400,         30.323,0.0666278,0.06654,0.467834,0.526749,0.173264,88.5716
500,         36.592,0.0510164,0.050997,0.380463,0.389435,0.182144,90.224
600,         42.281,0.0594409,0.0592596,0.410263,0.453049,0.178192,91.2284
700,         48.269,0.0624291,0.0623982,0.442322,0.466904,0.181839,92.2833
800,         54.037,0.0576234,0.0573342,0.480499,0.441986,0.166245,92.8454
900,         60.000,0.0600606,0.0594728,0.4767,0.462326,0.178345,93.3694
1000,         66.913,0.0738366,0.0737595,0.487839,0.588806,0.182968,93.9727
1100,         73.252,0.0670806,0.0669937,0.445847,0.527954,0.178665,94.4879
1200,         80.494,0.0753101,0.0748486,0.478134,0.597092,0.152222,94.8834
1300,         87.807,0.0702682,0.0685435,0.4328,0.552673,0.172928,95.2181
1400,         94.388,0.0711113,0.0709481,0.469879,0.551483,0.181396,95.0745
1500,        101.588,0.0716219,0.0713653,0.427719,0.599152,0.170029,95.3833
1600,        108.885,0.0739421,0.0736112,0.45845,0.599548,0.143539,95.6704
1700,        116.263,0.073752,0.0732786,0.473221,0.589371,0.155548,95.9092
1800,        123.783,0.076185,0.0759909,0.445816,0.600418,0.173141,96.1344
1900,        131.244,0.0717598,0.0715859,0.414658,0.601624,0.17807,96.3273
2000,        138.459,0.0734948,0.073047,0.43399,0.601883,0.135254,96.5041
2100,        145.842,0.0748701,0.0742477,0.450104,0.602539,0.148239,96.6575
2200,        153.306,0.0754033,0.0751933,0.444702,0.602997,0.15889,96.7945
2300,        160.830,0.0733432,0.0731675,0.421082,0.583374,0.178802,96.9267
2400,        168.108,0.0717546,0.0716373,0.428345,0.603943,0.129822,97.0453
2500,        175.389,0.0742701,0.0731958,0.458542,0.604691,0.109039,97.1435
2600,        182.785,0.0754572,0.0753869,0.471176,0.605469,0.152466,97.2011
2700,        190.341,0.075744,0.0756112,0.443359,0.606064,0.151367,97.3074
2800,        197.850,0.0729398,0.0727555,0.434921,0.611664,0.170624,97.3896
2900,        205.042,0.0734429,0.0729179,0.437866,0.607056,0.140961,97.4656
3000,        212.389,0.0751364,0.0750305,0.467789,0.607727,0.162567,97.5205
3100,        219.897,0.0751556,0.0750126,0.456406,0.608658,0.146545,97.6004
3200,        227.375,0.0749871,0.0747026,0.441437,0.609116,0.155975,97.6707
3300,        234.688,0.0719444,0.0717817,0.434692,0.609787,0.128464,97.7267
3400,        241.918,0.0739833,0.0738999,0.463486,0.608475,0.141663,97.7464
3500,        249.419,0.0756962,0.0756637,0.473694,0.611008,0.186432,97.8101
3600,        256.957,0.07538,0.0749584,0.447723,0.611603,0.137787,97.8684
3700,        264.457,0.0720465,0.0719809,0.43071,0.612335,0.15834,97.9167
3800,        271.702,0.074341,0.0742734,0.455017,0.612732,0.148819,97.9501
3900,        279.169,0.0753709,0.0752038,0.463577,0.613403,0.118088,98.0006
4000,        286.741,0.0763067,0.0761988,0.459091,0.614029,0.137222,98.0474
4100,        294.336,0.0760375,0.0755184,0.420532,0.61467,0.158005,98.088
4200,        301.594,0.0731459,0.0730233,0.416672,0.614685,0.0995483,98.1053
4300,        309.029,0.0752348,0.0751663,0.452454,0.615692,0.14798,98.1465
4400,        316.550,0.0753561,0.075139,0.460739,0.61647,0.147263,98.1858
4500,        324.064,0.075624,0.075139,0.438263,0.61705,0.142685,98.2189
4600,        331.451,0.0734152,0.0733896,0.435806,0.617294,0.14595,98.23
4700,        338.814,0.0748082,0.0745979,0.44252,0.61821,0.152237,98.2648
4800,        346.328,0.0753458,0.0751193,0.441193,0.619003,0.131042,98.2973
4900,        353.840,0.0752967,0.0751193,0.40564,0.619553,0.135483,98.3285
5000,        361.364,0.0759615,0.0759575,0.412201,0.620163,0.167511,98.3531
5100,        368.695,0.074515,0.0744917,0.412201,0.620529,0.141129,98.3833
5200,        376.196,0.0756981,0.0754319,0.430405,0.62149,0.114563,98.41
5300,        383.739,0.0758908,0.0754319,0.417267,0.62204,0.140762,98.4324
5400,        391.293,0.0762434,0.0761456,0.408127,0.622604,0.149536,98.4511
5500,        398.753,0.0728433,0.0727648,0.397476,0.623428,0.137009,98.4783
5600,        406.207,0.0755793,0.0753712,0.44635,0.623795,0.123886,98.501
5700,        413.783,0.0760516,0.0758225,0.421234,0.624588,0.126373,98.5221
5800,        421.288,0.0758277,0.0757576,0.392731,0.625137,0.139648,98.5297
5900,        428.842,0.0732829,0.0732127,0.398453,0.625214,0.160477,98.5534
6000,        436.262,0.0755565,0.075481,0.432175,0.62645,0.147842,98.574
6100,        443.831,0.0759865,0.0752311,0.423355,0.62709,0.115982,98.5923
6200,        451.364,0.07579,0.0757576,0.399017,0.627701,0.134796,98.6044
6300,        458.972,0.0766998,0.0764651,0.411011,0.62825,0.165054,98.6249
6400,        466.392,0.0751982,0.0751799,0.403824,0.628525,0.133041,98.6438
6500,        473.964,0.0765081,0.076407,0.423615,0.629684,0.110657,98.6591
6600,        481.519,0.0761689,0.0761514,0.385284,0.630081,0.140167,98.6665
6700,        489.165,0.0769996,0.0768833,0.432892,0.630783,0.151016,98.6849
6800,        496.690,0.07369,0.0735364,0.397232,0.631119,0.131454,98.7021
6900,        504.229,0.0765013,0.0759341,0.440277,0.632019,0.112564,98.7158
7000,        511.833,0.0765791,0.0765405,0.395065,0.63266,0.12709,98.7264
7100,        519.524,0.0774083,0.077267,0.440277,0.633301,0.143341,98.7428
7200,        527.174,0.0751308,0.0750062,0.410004,0.633606,0.144257,98.7577
7300,        534.679,0.076452,0.0760092,0.431076,0.634537,0.124207,98.7692
7400,        542.309,0.0771341,0.0771327,0.428406,0.635269,0.124496,98.7747
7500,        550.031,0.0777062,0.077701,0.420395,0.635834,0.1436,98.7893
7600,        557.809,0.0740311,0.0738841,0.401413,0.637207,0.157318,98.8028
7700,        565.292,0.0765631,0.0759372,0.422379,0.637131,0.115814,98.813
7800,        572.942,0.0775535,0.07753,0.436142,0.637787,0.122635,98.8186
7900,        580.701,0.0779413,0.0778204,0.41449,0.638412,0.141418,98.8327
8000,        588.517,0.0787316,0.0786512,0.429199,0.639084,0.16185,98.8445
8100,        596.058,0.0760471,0.0758081,0.418716,0.639313,0.110611,98.8541
8200,        603.710,0.0778669,0.0777823,0.432556,0.640106,0.117661,98.8592
8300,        611.501,0.0783255,0.0780533,0.427307,0.640976,0.14537,98.8717
8400,        619.352,0.0790903,0.0788754,0.43045,0.641617,0.152222,98.8828
8500,        626.969,0.0751088,0.0739326,0.414612,0.641846,0.125107,98.8886
8600,        634.559,0.0777224,0.0775629,0.427536,0.642822,0.114944,98.8861
8700,        642.370,0.0785561,0.0783573,0.44136,0.643539,0.138641,98.8974
8800,        650.234,0.0792656,0.0787592,0.432236,0.644165,0.152374,98.9069
8900,        657.938,0.075399,0.0736482,0.4151,0.645828,0.138351,98.9101
9000,        665.553,0.0777246,0.0776099,0.42926,0.645386,0.117111,98.9142
9100,        673.380,0.0788489,0.078768,0.446243,0.646118,0.132721,98.9246
9200,        681.258,0.0794801,0.0794713,0.446686,0.646729,0.146332,98.9316
9300,        689.041,0.0765884,0.0737948,0.419312,0.647064,0.142181,98.9337
9400,        696.668,0.0779236,0.0777738,0.429779,0.648056,0.128448,98.9388
9500,        704.505,0.0790932,0.0790584,0.447952,0.648712,0.140701,98.9477
9600,        712.410,0.0798288,0.0790584,0.46077,0.649261,0.143875,98.9537
9700,        720.302,0.0757966,0.075759,0.417191,0.649567,0.155472,98.9564
9800,        727.973,0.0780534,0.0778335,0.429962,0.650635,0.144302,98.9655
9900,        735.831,0.0792152,0.0791555,0.447449,0.651367,0.128052,98.9744
10000,        743.775,0.0800994,0.0798097,0.430161,0.651962,0.143478,98.9818
10100,        751.756,0.076268,0.0761295,0.417435,0.65567,0.157318,98.9855
10200,        759.435,0.0783242,0.0781928,0.439789,0.653244,0.11438,98.9939
10300,        767.309,0.0795937,0.0793171,0.446915,0.6539,0.138214,99.0017
10400,        775.241,0.0801033,0.0793171,0.435532,0.654587,0.143448,99.0045
10500,        783.217,0.0805722,0.080429,0.439529,0.655273,0.167358,99.0065
10600,        790.942,0.0784304,0.0784295,0.431747,0.65564,0.109482,99.0148
10700,        798.835,0.0799035,0.0797464,0.446289,0.656601,0.127945,99.0218
10800,        806.810,0.0805953,0.0797464,0.442398,0.657242,0.14592,99.024
10900,        814.844,0.0809232,0.0808866,0.438583,0.657883,0.165649,99.0286
11000,        822.620,0.0784281,0.0782895,0.439316,0.658081,0.112839,99.0363
11100,        830.533,0.0802819,0.0802324,0.446503,0.659317,0.120743,99.0425
11200,        838.549,0.0806885,0.0805952,0.444611,0.659836,0.147461,99.0473
11300,        846.629,0.0811752,0.0811481,0.438126,0.660522,0.163788,99.0547
11400,        854.454,0.078401,0.0781188,0.430634,0.660721,0.117386,99.0622
11500,        862.382,0.0804646,0.080188,0.446381,0.66156,0.12149,99.0672
11600,        870.404,0.0810174,0.0808625,0.449219,0.662491,0.150284,99.0688
11700,        878.518,0.0815206,0.0813717,0.451508,0.663162,0.162247,99.0759
11800,        886.389,0.0783787,0.0782233,0.429855,0.663177,0.128769,99.0826
11900,        894.333,0.0806331,0.0798165,0.446487,0.664276,0.121368,99.0865
12000,        902.355,0.0814057,0.0813095,0.454819,0.665115,0.156357,99.0846
12100,        910.509,0.0819452,0.0818965,0.464828,0.665756,0.160828,99.0911
12200,        918.430,0.0784524,0.078173,0.428665,0.666046,0.130157,99.0974
12300,        926.400,0.0808723,0.0800072,0.447205,0.666946,0.120682,99.1011
12400,        934.487,0.0819107,0.0817716,0.460068,0.667847,0.15593,99.1022
12500,        942.665,0.0824173,0.082157,0.471909,0.668427,0.160675,99.1082
12600,        950.628,0.0786567,0.0780978,0.429565,0.668716,0.133743,99.1136
12700,        958.569,0.0811452,0.0795026,0.45015,0.669632,0.120682,99.1112
12800,        966.685,0.081416,0.0812375,0.456238,0.670471,0.151596,99.1142
12900,        974.881,0.083,0.0826201,0.462311,0.671082,0.161255,99.1195
13000,        982.888,0.0788877,0.0781576,0.431213,0.671356,0.13501,99.1244
13100,        990.894,0.081455,0.081302,0.452301,0.672318,0.119919,99.1257
13200,        999.048,0.0821381,0.0818449,0.458008,0.67305,0.14975,99.1312
13300,       1007.307,0.0832535,0.0829625,0.448761,0.673843,0.162094,99.1362
13400,       1015.320,0.0792414,0.0779988,0.433563,0.674057,0.138107,99.1392
13500,       1023.334,0.0818009,0.081798,0.453369,0.675003,0.121811,99.1378
13600,       1031.552,0.0826918,0.0823566,0.462738,0.675888,0.157013,99.1428
13700,       1039.829,0.0834184,0.083372,0.449036,0.676559,0.163208,99.147
13800,       1047.840,0.0796586,0.0771279,0.436829,0.676804,0.136444,99.1478
13900,       1055.869,0.0821843,0.0820785,0.456558,0.677704,0.124847,99.1446
14000,       1064.138,0.0831979,0.0830488,0.46788,0.678589,0.157928,99.1497
