Simulation Time,1D (%),2D (%),Other (%)
         2.0000,     0,   100,        0
         3.0000,     0,    97,        3
         4.0000,     0,    96,        4
         5.0000,     0,    96,        4
         6.0000,     0,    96,        4
         7.0000,     0,    94,        6
         8.0000,     0,    92,        8
         9.0000,     0,    88,       12
        10.0000,     0,    89,       11
        10.0000,     0,    89,       11
