Stage                                             ,Total (s)   ,Elapsed (s) 
Initilisation (file opened)                       ,      0.00,      0.00
Searching Wibu Licence                            ,      0.01,      0.01
Found 2D domains                                  ,      0.29,      0.28
Start 2D BC Array Sizes Domain_001                ,      0.52,      0.23
End 2D BC Array Sizes Domain_001                  ,      0.52,      0.01
Start Estry Setup s0                              ,      0.53,      0.00
End Estry Setup s0                                ,      0.53,      0.00
Start TUFLOW Setup s2                             ,      0.53,      0.00
End TUFLOW Setup s2                               ,      0.78,      0.25
Reading Geometry File Domain_001                  ,      0.97,      0.19
Start Read GRID Zpts                              ,      0.99,      0.02
End Read GRID Zpts                                ,      1.06,      0.07
Start Read Read GIS Code                          ,      1.06,      0.00
End Read Read GIS Code                            ,      1.09,      0.03
Finished Reading Geometry File Domain_001         ,      1.12,      0.02
Start Read input file (stage 2) Domain_001        ,      1.12,      0.00
End Read input file (stage 2) Domain_001          ,      1.16,      0.04
Identifying cells within user defined output zones,      1.16,      0.00
Finished Identifying cells within user defined out,      1.16,      0.00
Setting instability water levels Domain_001       ,      1.16,      0.00
Finished Setting instability water levels Domain_0,      1.17,      0.00
Assigning any Variable Z Shape 1D Trigger Nodes   ,      1.17,      0.00
Finished Assigning any Variable Z Shape 1D Trigger,      1.17,      0.00
Start Reading Input File (Stage 3)                ,      1.17,      0.00
End Reading Input File (Stage 3)                  ,      1.18,      0.01
Reading Boundary File Domain_001                  ,      1.18,      0.00
Finished Reading Boundary File Domain_001         ,      1.25,      0.07
Initialising 2D Data (Stage 1) Domain_001         ,      1.26,      0.00
Finished Initialising 2D Data (Stage 1) Domain_001,      1.47,      0.22
Initialising 2D Data (Stage 2) Domain_001         ,      1.48,      0.00
Finished Initialising 2D Data (Stage 2) Domain_001,      1.71,      0.23
Start Writing _grd_check                          ,      1.72,      0.01
End Writing _grd_check                            ,     13.03,     11.31
Start Writing _zpt_check                          ,     13.03,      0.00
End Writing _zpt_check                            ,     28.16,     15.13
Start Writing _uvpt_check                         ,     28.16,      0.00
End Writing _uvpt_check                           ,     40.91,     12.74
Start Writing .2dm                                ,     41.01,      0.11
End Writing .2dm                                  ,     44.93,      3.92
Start Writing check DEMs                          ,     44.93,      0.00
Start Calculating grid interpolation factors      ,     44.94,      0.00
End Calculating grid interpolation factors        ,     45.71,      0.78
End Writing check DEMs                            ,     47.00,      1.29
Start Calculating grid interpolation factors      ,     47.00,      0.00
End Calculating grid interpolation factors        ,     47.78,      0.78
Starting Simulation                               ,     47.78,      0.01
Summary File Close                                ,     47.79,      0.00
